Pincodes,location_risk_weight,location_band,District/City, GEO_Portfolio_PL_Index 
583234,20,10,Koppal,2.620754077
583236,20,10,Koppal,7.633940342
583237,20,10,Koppal,9.645763973
583238,10,8,Koppal,1.474979844
583275,5,3,Bellary,0.420824599
583277,20,10,Koppal,8.319274963
584101,10,8,Raichur,1.472893544
584102,8,7,Raichur,1.183025965
584103,15,9,Raichur,1.547968697
584111,10,8,Raichur,1.475174905
584112,3,2,Koppal,0.288518662
584115,7,6,Raichur,0.929390474
584121,20,10,Koppal,9.871337805
584122,15,9,Raichur,1.810107982
584123,20,10,Raichur,4.387840864
584124,20,10,Raichur,2.374240066
584125,15,9,Raichur,1.635627894
584128,20,10,Raichur,3.7928741
584134,20,10,Raichur,2.902497633
584170,20,10,Raichur,2.212258364
585101,10,8,Gulbarga,1.371221977
585102,10,8,Gulbarga,1.193833694
585103,15,9,Gulbarga,1.669568171
585104,8,7,Gulbarga,0.992797778
585105,10,8,Gulbarga,1.39671613
585106,8,7,Gulbarga,1.071135335
585201,20,10,Yadgir,3.214392315
585202,15,9,Yadgir,2.074253652
585211,20,10,Gulbarga,3.197969855
585216,6,4,Yadgir,0.554590486
585221,6,4,Yadgir,0.642146747
585222,6,4,Gulbarga,0.633232449
585223,20,10,Yadgir,4.220576298
585224,15,9,Yadgir,1.984501337
585225,15,9,Gulbarga,1.51647588
585227,20,10,Bidar,7.4613649
585228,10,8,Gulbarga,1.302983903
585229,7,6,Gulbarga,0.959402103
585257,2,1,Yadgir,0.212163795
585292,3,2,Gulbarga,0.339662141
585301,20,10,Gulbarga,2.677256934
585302,10,8,Gulbarga,1.311564855
585305,20,10,Gulbarga,2.843131892
585307,20,10,Gulbarga,5.099024716
585309,15,9,Yadgir,2.060985937
585310,20,10,Gulbarga,6.033588239
585311,20,10,Gulbarga,2.982148917
585312,15,9,Gulbarga,1.618764067
585313,20,10,Gulbarga,2.638562216
585326,20,10,Bidar,2.433605459
585327,20,10,Bidar,3.168750842
585328,20,10,Bidar,2.717137287
585330,20,10,Bidar,3.152807951
585401,20,10,Bidar,2.227334381
585402,20,10,Bidar,3.333065023
585403,15,9,Bidar,2.142662528
585412,20,10,Bidar,2.150269473
585416,20,10,Bidar,2.422636156
585421,15,9,Bidar,2.004076183
585436,8,7,Bidar,1.068716421
586101,10,8,Bijapur(Kar),1.30501044
586102,6,4,Bijapur(Kar),0.701807595
586103,6,4,Bijapur(Kar),0.571050487
586104,10,8,Bijapur(Kar),1.259532943
586109,2,1,Bijapur(Kar),0.177909242
586113,8,7,Bijapur(Kar),1.059736471
586117,3,2,Bijapur(Kar),0.267505417
586122,15,9,Bijapur(Kar),1.773040463
586128,20,10,Bijapur(Kar),2.171324585
586201,15,9,Bijapur(Kar),1.651333978
586203,10,8,Bijapur(Kar),1.229190926
586209,15,9,Bijapur(Kar),1.585435838
586212,8,7,Bijapur(Kar),1.094452188
586213,15,9,Bijapur(Kar),1.919613219
586214,20,10,Bijapur(Kar),4.549749211
587101,8,7,Bagalkot,1.075256921
587102,10,8,Bagalkot,1.391346594
587103,7,6,Bagalkot,0.866254055
587111,6,4,Bagalkot,0.703848628
587112,6,4,Bagalkot,0.803198413
587113,2,1,Bagalkot,0.015233351
587115,10,8,Bagalkot,1.241580898
587116,5,3,Bagalkot,0.429733478
587118,15,9,Bagalkot,1.767390918
587119,10,8,Bagalkot,1.363364918
587120,15,9,Bagalkot,1.76140744
587122,6,4,Bagalkot,0.759331675
587125,6,4,Bagalkot,0.705542883
587201,8,7,Bagalkot,1.136732712
587203,20,10,Bagalkot,2.302872961
587204,8,7,Bagalkot,1.053095652
587206,7,6,Bagalkot,0.883273144
587301,8,7,Bagalkot,1.11500248
587311,10,8,Bagalkot,1.46505401
587312,15,9,Bagalkot,1.552835507
587313,6,4,Bagalkot,0.658418981
587314,5,3,Bagalkot,0.486159816
587315,7,6,Bagalkot,0.956548392
590001,10,8,Belgaum,1.411148838
590002,10,8,Belgaum,1.340476934
590003,8,7,Belgaum,1.045236996
590004,2,1,Belgaum,0.030408829
590005,6,4,Belgaum,0.667664104
590006,7,6,Belgaum,0.843552732
590008,15,9,Belgaum,1.573237349
590009,6,4,Belgaum,0.770440864
590010,8,7,Belgaum,1.027856827
590011,8,7,Belgaum,1.068093543
590014,10,8,Belgaum,1.412125695
590016,6,4,Belgaum,0.642361447
590018,7,6,Belgaum,0.870997405
591101,2,1,Belgaum,0.023792925
591102,8,7,Belgaum,1.080487041
591103,6,4,Belgaum,0.623527576
591104,20,10,Belgaum,2.855682455
591106,6,4,Belgaum,0.611340374
591108,6,4,Belgaum,0.831721643
591109,5,3,Belgaum,0.534230214
591112,6,4,Belgaum,0.749183553
591113,7,6,Belgaum,0.861070404
591114,2,1,Belgaum,0.02747978
591115,3,2,Belgaum,0.246143138
591117,6,4,Belgaum,0.683879791
591118,2,1,Belgaum,0.154153238
591119,20,10,Belgaum,2.852355766
591120,8,7,Belgaum,1.123072004
591121,8,7,Belgaum,1.062389998
591122,2,1,Belgaum,0.159507891
591123,15,9,Belgaum,1.82674082
591124,6,4,Belgaum,0.587526804
591125,5,3,Belgaum,0.442559459
591126,10,8,Belgaum,1.221498199
591127,20,10,Belgaum,2.72817131
591128,5,3,Belgaum,0.509683685
591129,5,3,Belgaum,0.470566506
591131,15,9,Belgaum,1.813531505
591143,6,4,Belgaum,0.752280228
591153,15,9,Belgaum,2.097609865
591201,5,3,Belgaum,0.492040204
591212,2,1,Belgaum,0.062681771
591213,7,6,Belgaum,0.876281392
591214,8,7,Belgaum,1.115084202
591215,3,2,Belgaum,0.390697366
591220,5,3,Belgaum,0.544371074
591221,8,7,Belgaum,1.124416719
591222,2,1,Belgaum,0.185488037
591224,8,7,Belgaum,1.030202449
591225,6,4,Belgaum,0.585805849
591226,5,3,Belgaum,0.481442027
591229,6,4,Belgaum,0.763251057
591231,15,9,Belgaum,1.772145344
591232,2,1,Belgaum,0.204836884
591235,10,8,Belgaum,1.302271006
591236,7,6,Belgaum,0.85393711
591237,6,4,Belgaum,0.805182729
591241,8,7,Belgaum,1.051758974
591243,5,3,Belgaum,0.443241394
591247,3,2,Belgaum,0.232945918
591248,2,1,Belgaum,0.084969801
591287,20,10,Belgaum,2.261369369
591301,6,4,Belgaum,0.552758499
591302,8,7,Belgaum,1.097372809
591303,20,10,Belgaum,2.293112785
591304,6,4,Belgaum,0.699445898
591305,10,8,Belgaum,1.207289954
591306,20,10,Belgaum,10.87203835
591307,15,9,Belgaum,1.5423635
591309,8,7,Belgaum,1.18419548
591310,8,7,Belgaum,1.164447814
591311,8,7,Belgaum,1.013440357
591312,15,9,Belgaum,1.631705387
591313,6,4,Belgaum,0.598636035
591316,7,6,Belgaum,0.894713401
591317,6,4,Belgaum,0.596810757
591340,6,4,Belgaum,0.808101623
591344,6,4,Belgaum,0.557383431
600001,7,6,Chennai,0.959852706
600002,7,6,Chennai,0.868805183
600003,6,4,Chennai,0.661158169
600004,7,6,Chennai,0.962049544
600005,7,6,Chennai,0.955150513
600006,6,4,Chennai,0.721790881
600007,6,4,Chennai,0.787903694
600008,6,4,Chennai,0.768843557
600009,6,4,Chennai,0.807117532
600010,7,6,Chennai,0.978538855
600011,7,6,Chennai,0.922386116
600012,10,8,Chennai,1.389633791
600013,10,8,Chennai,1.328270386
600014,8,7,Chennai,1.010539517
600015,7,6,Chennai,0.872723063
600016,8,7,Kanchipuram,1.025872722
600017,10,8,Chennai,1.390113257
600018,6,4,Chennai,0.652506149
600019,7,6,Tiruvallur,0.839139209
600020,6,4,Chennai,0.790092107
600021,10,8,Chennai,1.22205637
600023,7,6,Chennai,0.84773896
600024,8,7,Chennai,1.154416998
600025,10,8,Chennai,1.362388978
600026,10,8,Chennai,1.286909251
600027,6,4,Kanchipuram,0.696210121
600028,6,4,Chennai,0.71915614
600029,10,8,Chennai,1.234466432
600030,6,4,Chennai,0.679839457
600031,7,6,Chennai,0.901714938
600032,6,4,Chennai,0.685876922
600033,6,4,Chennai,0.735703106
600034,7,6,Chennai,0.855031004
600035,8,7,Chennai,1.131650711
600036,5,3,Chennai,0.539438197
600037,7,6,Tiruvallur,0.939086958
600038,10,8,Chennai,1.502177649
600039,10,8,Chennai,1.411015086
600040,8,7,Chennai,1.11376234
600041,8,7,Kanchipuram,1.009102194
600042,6,4,Chennai,0.704027164
600043,7,6,Kanchipuram,0.860376675
600044,6,4,Kanchipuram,0.760384659
600045,6,4,Kanchipuram,0.661047095
600046,5,3,Kanchipuram,0.458744046
600047,6,4,Kanchipuram,0.674074188
600048,6,4,Kanchipuram,0.69608561
600049,7,6,Tiruvallur,0.881567785
600050,7,6,Tiruvallur,0.850736242
600051,6,4,Tiruvallur,0.739883631
600052,8,7,Tiruvallur,1.09881639
600053,6,4,Tiruvallur,0.738271196
600054,8,7,Tiruvallur,1.018621322
600055,6,4,Tiruvallur,0.653876793
600056,8,7,Tiruvallur,1.0534464
600057,6,4,Tiruvallur,0.819679685
600058,6,4,Tiruvallur,0.806398495
600059,7,6,Kanchipuram,0.875147518
600060,7,6,Tiruvallur,0.842831895
600061,5,3,Kanchipuram,0.533686261
600062,7,6,Tiruvallur,0.949109875
600063,6,4,Kanchipuram,0.769005028
600064,6,4,Kanchipuram,0.670712476
600065,8,7,Tiruvallur,1.040829041
600066,15,9,Tiruvallur,1.718617291
600067,6,4,Tiruvallur,0.68800269
600068,8,7,Tiruvallur,1.071264225
600069,7,6,Kanchipuram,0.959007004
600070,6,4,Kanchipuram,0.600822482
600071,8,7,Tiruvallur,1.141012238
600072,7,6,Tiruvallur,0.896383051
600073,6,4,Kanchipuram,0.576743058
600074,7,6,Kanchipuram,0.980436123
600075,7,6,Kanchipuram,0.965716606
600076,6,4,Tiruvallur,0.826173142
600077,8,7,Tiruvallur,1.020641381
600078,7,6,Chennai,0.976642948
600079,7,6,Chennai,0.93034644
600080,6,4,Tiruvallur,0.783980667
600081,8,7,Chennai,1.050957448
600082,7,6,Chennai,0.949594479
600083,7,6,Chennai,0.955432047
600084,15,9,Chennai,1.509648228
600085,20,10,Chennai,3.116427034
600086,7,6,Chennai,0.95081445
600087,6,4,Tiruvallur,0.726633755
600088,7,6,Kanchipuram,0.91308818
600089,6,4,Kanchipuram,0.703056737
600090,5,3,Chennai,0.523553473
600091,6,4,Kanchipuram,0.636873889
600092,6,4,Chennai,0.667112698
600093,6,4,Chennai,0.792441702
600094,7,6,Chennai,0.875495736
600095,7,6,Tiruvallur,0.874535692
600096,6,4,Kanchipuram,0.611472191
600097,5,3,Kanchipuram,0.512254963
600098,8,7,Tiruvallur,0.99442881
