pincode,city,state,Tier,ExtraPricing
828206,Dhanbad,Jharkhand,Tier4,2
828207,Dhanbad,Jharkhand,Tier4,2
828301,Dhanbad,Jharkhand,Tier4,2
828302,Bokaro,Jharkhand,Tier4,2
828303,Bokaro,Jharkhand,Tier4,2
828304,Dhanbad,Jharkhand,Tier4,2
828305,Dhanbad,Jharkhand,Tier4,2
828306,Dhanbad,Jharkhand,Tier4,2
828307,Bokaro,Jharkhand,Tier4,2
828308,Dhanbad,Jharkhand,Tier4,2
828309,Dhanbad,Jharkhand,Tier4,2
828401,Dhanbad,Jharkhand,Tier4,2
828402,Dhanbad,Jharkhand,Tier4,2
828403,Bokaro,Jharkhand,Tier4,2
828404,Bokaro,Jharkhand,Tier4,2
829101,Hazaribag,Jharkhand,Tier4,2
829102,Ramgarh,Jharkhand,Tier4,2
829103,Ramgarh,Jharkhand,Tier4,2
829104,Bokaro,Jharkhand,Tier4,2
829105,Ramgarh,Jharkhand,Tier4,2
829106,Ramgarh,Jharkhand,Tier4,2
829107,Bokaro,Jharkhand,Tier4,2
829108,Ramgarh,Jharkhand,Tier4,2
829109,Ramgarh,Jharkhand,Tier4,2
829110,Ramgarh,Jharkhand,Tier4,2
829111,Bokaro,Jharkhand,Tier4,2
829112,Bokaro,Jharkhand,Tier4,2
829113,Bokaro,Jharkhand,Tier4,2
829114,Hazaribag,Jharkhand,Tier4,2
829116,Bokaro,Jharkhand,Tier4,2
829117,Ramgarh,Jharkhand,Tier4,2
829118,Ramgarh,Jharkhand,Tier4,2
829119,Hazaribag,Jharkhand,Tier4,2
829121,Bokaro,Jharkhand,Tier4,2
829122,Ramgarh,Jharkhand,Tier4,2
829123,Hazaribag,Jharkhand,Tier4,2
829125,Ramgarh,Jharkhand,Tier4,2
829126,Ramgarh,Jharkhand,Tier4,2
829127,Bokaro,Jharkhand,Tier4,2
829128,Bokaro,Jharkhand,Tier4,2
829129,Ramgarh,Jharkhand,Tier4,2
829130,Ramgarh,Jharkhand,Tier4,2
829131,Ramgarh,Jharkhand,Tier4,2
829132,Bokaro,Jharkhand,Tier4,2
829133,Ramgarh,Jharkhand,Tier4,2
829134,Ramgarh,Jharkhand,Tier4,2
829135,Ramgarh,Jharkhand,Tier4,2
829143,Ramgarh,Jharkhand,Tier4,2
829144,Hazaribag,Jharkhand,Tier4,2
829149,Bokaro,Jharkhand,Tier4,2
829150,Ramgarh,Jharkhand,Tier4,2
829201,Chatra,Jharkhand,Tier4,2
829202,Latehar,Jharkhand,Tier4,2
829203,Latehar,Jharkhand,Tier4,2
829204,Latehar,Jharkhand,Tier4,2
829205,Ranchi,Jharkhand,Tier3,2
829206,Latehar,Jharkhand,Tier4,2
829207,Latehar,Jharkhand,Tier4,2
829208,Ranchi,Jharkhand,Tier3,2
829209,Ranchi,Jharkhand,Tier3,2
829210,Ranchi,Jharkhand,Tier3,2
829301,Bokaro,Jharkhand,Tier4,2
831001,Jamshedpur,Jharkhand,Tier2,0
831002,Jamshedpur,Jharkhand,Tier2,0
831003,Jamshedpur,Jharkhand,Tier2,0
831004,Jamshedpur,Jharkhand,Tier2,0
831005,Jamshedpur,Jharkhand,Tier2,0
831006,Jamshedpur,Jharkhand,Tier2,0
831007,Jamshedpur,Jharkhand,Tier2,0
831008,Jamshedpur,Jharkhand,Tier2,0
831009,Jamshedpur,Jharkhand,Tier2,0
831010,Jamshedpur,Jharkhand,Tier2,0
831011,Jamshedpur,Jharkhand,Tier2,0
831012,Jamshedpur,Jharkhand,Tier2,0
831013,Jamshedpur,Jharkhand,Tier2,0
831014,Jamshedpur,Jharkhand,Tier2,0
831015,Jamshedpur,Jharkhand,Tier2,0
831016,Jamshedpur,Jharkhand,Tier2,0
831017,Baridih,Jharkhand,Tier4,2
831018,Jamshedpur,Jharkhand,Tier2,0
831019,Jamshedpur,Jharkhand,Tier2,0
831035,Jamshedpur,Jharkhand,Tier2,0
832101,Jamshedpur,Jharkhand,Tier2,0
832102,Jamshedpur,Jharkhand,Tier2,0
832103,Jamshedpur,Jharkhand,Tier2,0
832104,Jamshedpur,Jharkhand,Tier2,0
